data;445
paper;286
software;280
using;248
used;247
performance;239
system;226
systems;195
approach;185
results;181
web;174
services;169
fault;157
faults;151
use;145
based;137
security;128
applications;128
show;127
new;126
dependability;125
time;121
different;119
information;117
application;117
injection;112
present;110
proposed;108
database;107
set;104
test;103
several;103
support;99
mobile;99
propose;92
many;92
large;92
however,;92
experimental;89
framework;88
techniques;87
study;85
distributed;85
testing;84
service;81
presents;81
business;81
quality;80
provide;80
evaluation;78
code;78
architecture;78
real;77
benchmark;77
systems.;76
robustness;76
research;76
processing;76
important;76
detection;75
control;74
allows;73
tools;72
main;72
analysis;72
query;71
work;70
number;69
critical;69
able;69
technique;68
tool;67
model;67
high;66
development;66
network;65
failure;65
execution;65
paper,;64
order;63
monitoring;63
management;63
programming;62
agents;62
developed;61
server;60
existing;60
impact;59
desktop;59
current;58
complex;58
available;58
evaluate;56
provides;55
process;55
due;55
benchmarking;55
agent;55
access;55
computer;54
users;53
grid;53
computing;53
algorithms;53
simple;52
solutions;51
real-time;51
methodology;51
