architectures;1998;1
automation;2011;3
design;2006;4
computing platforms;2008;3
computability;2000;5
runtime environments;2006;1
availability;2005;8
fault tolerance;2013;1
pointing;2014;6
genetics;2007;2
windows;2002;1
dos;2004;2
data warehouses;2001;2
computability;1994;2
xilinx;2013;1
data structures;2000;1
networks;1999;4
measurement;2008;5
placement;1998;1
artificial life;2008;2
consistency;2016;1
estimation;2010;1
software fault tolerance;2002;1
buffering;2004;1
linux;2012;1
operating systems security;2014;1
multithreading;1998;1
performance;2009;19
coverage metrics;2009;1
information retrieval;2012;1
sustainability;2008;1
lapack;2000;1
concurrent programming languages;2012;2
modis;2012;1
correctness;2000;1
question answering;2010;1
frameworks;2000;5
business intelligence;2010;2
evaluation;2007;8
reliability;2014;8
summarization;2012;1
recursion;1997;1
technologies;2005;2
web applications;2009;2
field studies;2012;1
evolutionary algorithms;2008;4
law;2008;1
clustering;2003;1
architectures;2007;1
graph theory;2014;1
networks;2005;3
design;2013;4
search-based software engineering;2010;1
networks;2010;4
constraints;2009;2
pointing;2001;3
metrics;2012;3
validation;2012;5
matlab;2008;1
windows;2009;1
virtual machines;2011;1
authentication;2015;2
frameworks;2013;7
measurement;2001;3
accessibility;2009;6
basic;2006;1
web services;2010;6
robustness;2009;7
estimation;2003;2
completeness;2011;1
anomaly detection;2009;1
virtualization and security;2014;1
experimentation;2006;5
jsp;2012;1
logic;2007;1
measurement;1999;1
personalization;2011;4
middleware;2007;1
hardware;2007;1
trust;2009;1
network manageability;2007;1
transportation;2014;2
fault tolerance;2000;1
education;2007;1
correctness;1999;2
personalization;2009;2
corba;2003;1
browsers;2015;2
application servers;2008;1
annotation;2003;1
verification;2006;1
approximation;2014;1
summarization;2003;3
software evolution;2014;1
open source software;2015;2
technologies;2012;2
web applications;2014;4
modis;1999;1
vulnerability scanners;2013;1
abstraction;2012;2
application servers;2000;1
system administration;2013;1
web services;2012;2
genetic programming;2008;12
failure prediction;2015;2
redundancy;2011;4
electronics;2010;1
mobile agents;2003;1
wifi;2000;2
verification;2014;4
fault tolerance;1999;1
ranking;2009;2
education;2001;2
validation;2005;4
monitors;2013;8
discretization;2002;1
texting;2009;4
machine learning;2015;1
intrusion detection systems;2014;3
routing protocols;2007;1
excel;2002;1
fault tolerance;2001;1
accessibility;2002;1
publishing;2005;1
powerpc;2002;1
robustness;2000;2
telecommunications;1999;2
layering;2013;4
tracking;2006;1
data warehouses;2013;4
experimentation;2015;7
middleware;2014;1
pdf;2014;1
software fault tolerance;2016;1
jsp;2010;1
natural language processing;2012;1
documentation;2015;1
discretization;2008;1
operating systems;1995;2
performance;1997;1
functionality;2012;8
texting;2003;2
concurrency;2012;1
information systems;2000;1
virtual machines;2014;4
evolutionary algorithms;2009;2
correctness;2012;2
law;2006;1
modis;2009;1
intranets;2007;4
evaluation;2005;8
reliability;2002;2
frameworks;2011;6
xpath;2010;1
genetics;2010;1
ambient intelligence;2007;1
real-time systems;1999;1
hardware;2013;2
marketing;2007;1
automation;2012;2
dictionaries;2002;1
in-network processing;2011;1
engineering;2016;2
placement;2009;3
network architectures;2011;1
data streaming;2005;1
texting;2000;1
grid computing;2009;2
evaluation;2010;3
surveillance;2005;1
availability;2010;1
fault tolerance;2008;1
texting;2014;6
failure prediction;2016;1
sensor networks;2010;9
trees;2001;1
genetic programming;2005;4
matching;2014;1
engineering;2008;1
measurement;2013;2
automation;2016;2
artificial life;2013;2
middleware;2009;1
monitors;1995;1
network manageability;1999;3
enterprise applications;2008;2
compilers;2009;2
evaluation;2015;12
performance;2006;3
functionality;2011;6
architectures;2005;1
bluetooth;2012;1
tracking;2009;2
education;2011;6
correctness;2011;6
operating systems;2004;1
annotation;2015;1
vhdl;2015;1
reliability;2011;4
data integration;2008;1
genetics;2005;1
marketing;2014;5
scheduling algorithms;2001;2
database administration;2004;1
clustering;2014;1
sql server;2013;1
physics;2003;1
design;2000;1
smartphones;2008;1
business intelligence;2007;2
texting;1999;2
mobile agents;1999;5
computability;2006;10
education;2014;10
networks;2003;2
pointing;2012;2
validation;2009;4
activex;2002;1
measurement;2014;1
automation;2015;3
electronics;2015;1
data warehouses;2003;10
evaluation;1999;2
engineering;2003;1
uncertainty;2011;1
measurement;2010;5
patterns;2007;1
accessibility;2014;10
basic;2011;1
robustness;2012;3
estimation;2012;1
completeness;2014;1
logic;2009;1
agile software development;2015;1
linux;2014;1
vulnerability scanners;2014;2
performance;2015;9
software infrastructure;2007;1
consistency;2004;1
correctness;2002;2
data streaming;2010;1
frameworks;2006;2
coverage metrics;2007;1
world wide web;1997;1
reliability;2016;4
metrics;2005;3
concurrency;2014;4
technologies;2003;4
web applications;2011;3
redundancy;1998;2
abstraction;2009;2
computability;2012;5
law;2007;2
genetic programming;2010;4
application servers;2007;1
design;2015;8
genetics;2008;2
access control;2002;1
intrusion detection systems;2015;1
constraints;2011;4
clustering;1995;1
pointing;2007;3
validation;2014;2
assertions;1999;1
integrated circuits;2003;1
query planning;2005;1
texting;2012;4
verification;2013;4
clustering;2011;1
logic;2013;2
measurement;2003;3
discretization;1998;1
basic;2000;1
web services;2008;3
robustness;2011;3
estimation;2005;3
logic;2006;1
genetic programming;2007;4
experimentation;2000;2
linux;2007;2
java me;2008;1
virtual machines;2009;1
visibility;2011;2
performance;2016;2
smart grid;2015;1
verification;2010;2
transportation;2008;1
documentation;2008;1
synchronization;2007;2
multicore architectures;2014;1
privacy policies;2013;1
frameworks;1999;2
cryptographic primitives;2001;1
functionality;2007;3
system administration;2010;1
mysql;2015;3
personalization;2003;2
bagging;2003;1
snmp;2000;2
dos;2000;1
cryptography;2014;1
architectures;2014;12
memory management;2006;1
main memory;2001;1
recursion;2014;1
correctness;2015;1
mobile agents;2001;5
computability;2016;3
hardware;2008;2
interconnect;2013;1
fault tolerance;1997;1
pointing;1998;2
cloud computing;2015;6
validation;2007;3
physics;2015;1
design;1996;1
operating systems;2010;1
use cases;2015;2
texting;2011;10
computability;2010;6
consistency;2008;2
availability;2015;6
fault tolerance;2007;2
accessibility;2000;1
monitors;2006;1
layering;2003;1
data warehouses;2015;2
scheduling;2007;1
experimentation;2009;13
engineering;2015;8
scanners;2009;3
patterns;2011;1
middleware;2012;9
web services;2015;4
embedded software;2012;2
documentation;2001;2
embedded systems;2001;1
modis;2014;3
synchronization;2002;1
hardware;2009;1
online analytical processing;2013;1
performance;2003;10
reference models;2014;1
functionality;2014;5
data mining;2007;1
texting;2015;1
information systems;2002;2
correctness;2014;3
polymorphism;2007;2
operating systems;2003;2
cryptography;2001;1
layering;1999;1
monitors;2014;3
technologies;1999;5
evolutionary algorithms;2014;2
access control;2013;1
hardware;2015;2
documentation;2007;1
computability;2014;8
automation;2014;9
recursion;1999;1
data mining;2013;1
interoperability;2014;4
placement;2011;2
multi-agent systems;2011;1
metrics;2006;1
access control;2014;2
computability;2003;6
funding;2009;1
constraints;2007;2
networks;2008;6
fault tolerance;2014;4
pointing;2011;3
reusability;2000;1
authorization;2009;2
networks;2011;12
trees;2007;1
economics;2003;1
dos;2007;1
data warehouses;2004;10
data modeling;2008;1
sustainability;2011;2
engineering;2006;3
penetration testing;2009;4
fault tolerance;2016;1
patterns;2012;3
artificial life;2011;2
basic;2012;1
surfacing;2010;1
perception;2012;1
estimation;2009;1
documentation;2006;1
batteries;2010;1
robotics;2013;1
verification;2008;1
neural networks;2008;2
performance;2004;8
authentication;2002;1
information science education;2006;1
semantics;2009;1
completeness;2000;1
consistency;2009;1
correctness;2005;2
mobile agents;2007;1
frameworks;2003;3
annotation;2013;1
vhdl;2013;1
reliability;2013;8
summarization;2009;3
interpreters;2014;2
web services;2005;1
formalisms;2012;1
hardware;2006;1
modis;2004;1
architectures;1994;1
sql server;2015;2
design;2002;3
synchronization;2009;1
evaluation;2003;7
availability;2001;6
pointing;2002;2
random number generation;2011;1
validation;2011;1
availability;1997;1
parsing;2009;2
marketing;1997;1
business intelligence;2011;4
dos;2008;1
data warehouses;1997;2
computability;1998;3
consistency;2014;1
data structures;2004;1
