A. Pataricza;G. Pintér;2005;2
G. Pintér;A. Pataricza;2005;2
A. Pataricza;G. Pintér;2008;2
G. Pintér;A. Pataricza;2008;2
A. Pataricza;Henrique Madeira;2005;2
Henrique Madeira;A. Pataricza;2005;2
A. Pataricza;Henrique Madeira;2008;2
Henrique Madeira;A. Pataricza;2008;2
A. Pataricza;I. Majzik;2005;2
I. Majzik;A. Pataricza;2005;2
A. Pataricza;I. Majzik;2008;2
I. Majzik;A. Pataricza;2008;2
A. Pataricza;Marco Vieira;2005;2
Marco Vieira;A. Pataricza;2005;2
A. Pataricza;Marco Vieira;2008;2
Marco Vieira;A. Pataricza;2008;2
Ad Emmen;Attila Marosi;2008;4
Attila Marosi;Ad Emmen;2008;4
Ad Emmen;Filipe Araujo;2008;4
Filipe Araujo;Ad Emmen;2008;4
Ad Emmen;Gilles Fedak;2008;4
Gilles Fedak;Ad Emmen;2008;4
Ad Emmen;Gábor Gombás;2008;4
Gábor Gombás;Ad Emmen;2008;4
Ad Emmen;Gábor Terstyánszky;2008;4
Gábor Terstyánszky;Ad Emmen;2008;4
Ad Emmen;Ian Kelly;2008;4
Ian Kelly;Ad Emmen;2008;4
Ad Emmen;Ian Taylor;2008;4
Ian Taylor;Ad Emmen;2008;4
Ad Emmen;Miguel Cardenas-Montes;2008;4
Miguel Cardenas-Montes;Ad Emmen;2008;4
Ad Emmen;Oleg Lodygensky;2008;4
Oleg Lodygensky;Ad Emmen;2008;4
Ad Emmen;Péter Kacsuk;2008;4
Péter Kacsuk;Ad Emmen;2008;4
Ad Emmen;Róbert Lovas;2008;4
Róbert Lovas;Ad Emmen;2008;4
Ad Emmen;Tamas Kiss;2008;4
Tamas Kiss;Ad Emmen;2008;4
Ad Emmen;Zoltán Balaton;2008;4
Zoltán Balaton;Ad Emmen;2008;4
Ad Emmen;Zoltán Farkas;2008;4
Zoltán Farkas;Ad Emmen;2008;4
Afonso Comba de Araújo Neto;Henrique Madeira;2008;2
Henrique Madeira;Afonso Comba de Araújo Neto;2008;2
Afonso Comba de Araújo Neto;Henrique Madeira;2009;2
Henrique Madeira;Afonso Comba de Araújo Neto;2009;2
Afonso Comba de Araújo Neto;Joao Duraes;2008;2
Joao Duraes;Afonso Comba de Araújo Neto;2008;2
Afonso Comba de Araújo Neto;Marco Vieira;2008;4
Marco Vieira;Afonso Comba de Araújo Neto;2008;4
Afonso Comba de Araújo Neto;Marco Vieira;2009;10
Marco Vieira;Afonso Comba de Araújo Neto;2009;10
Afonso Comba de Araújo Neto;Marco Vieira;2010;2
Marco Vieira;Afonso Comba de Araújo Neto;2010;2
Afonso Comba de Araújo Neto;Marco Vieira;2011;12
Marco Vieira;Afonso Comba de Araújo Neto;2011;12
Afonso Comba de Araújo Neto;Marco Vieira;2012;2
Marco Vieira;Afonso Comba de Araújo Neto;2012;2
Afonso Comba de Araújo Neto;Marco Vieira;2013;2
Marco Vieira;Afonso Comba de Araújo Neto;2013;2
Afonso Comba de Araújo Neto;Naaliel Mendes;2008;2
Naaliel Mendes;Afonso Comba de Araújo Neto;2008;2
Afonso Comba de Araújo Neto;Raquel Rute Duarte Almeida;2013;2
Raquel Rute Duarte Almeida;Afonso Comba de Araújo Neto;2013;2
Alcides Fonseca;Bruno Cabral;2012;2
Bruno Cabral;Alcides Fonseca;2012;2
Alcides Fonseca;Bruno Cabral;2013;2
Bruno Cabral;Alcides Fonseca;2013;2
Alcides Fonseca;Bruno Cabral;2014;4
Bruno Cabral;Alcides Fonseca;2014;4
Alcides Fonseca;Bruno Cabral;2015;2
Bruno Cabral;Alcides Fonseca;2015;2
Alcides Fonseca;Jonathan Aldrich;2014;2
Jonathan Aldrich;Alcides Fonseca;2014;2
Alcides Fonseca;Jonathan Aldrich;2015;2
Jonathan Aldrich;Alcides Fonseca;2015;2
Alcides Fonseca;João Pedro Maia Rafael;2014;4
João Pedro Maia Rafael;Alcides Fonseca;2014;4
Alcides Fonseca;Paulo Marques;2014;2
Paulo Marques;Alcides Fonseca;2014;2
Alcides Fonseca;Paulo Marques;2015;2
Paulo Marques;Alcides Fonseca;2015;2
Alcides Fonseca;Sven Stork;2014;2
Sven Stork;Alcides Fonseca;2014;2
Alcides Marques;Bruno Lucas Rino;2003;2
Bruno Lucas Rino;Alcides Marques;2003;2
Alcides Marques;Henrique Madeira;2003;2
Henrique Madeira;Alcides Marques;2003;2
Alexandre Alves;João Carreira;1995;2
João Carreira;Alexandre Alves;1995;2
Alexandre Alves;João Gabriel Silva;1995;2
João Gabriel Silva;Alexandre Alves;1995;2
Alexandre Alves;Luís Silva;1995;2
Luís Silva;Alexandre Alves;1995;2
Aline Maria Santos Andrade;Carlos Alberto Maziero;2005;2
Carlos Alberto Maziero;Aline Maria Santos Andrade;2005;2
Aline Maria Santos Andrade;Flávio Morais de Assis Silva;2005;2
Flávio Morais de Assis Silva;Aline Maria Santos Andrade;2005;2
Aline Maria Santos Andrade;João Gabriel Silva;2005;2
João Gabriel Silva;Aline Maria Santos Andrade;2005;2
Alvaro E. Arenas;Filipe Araujo;2008;2
Filipe Araujo;Alvaro E. Arenas;2008;2
Alvaro E. Arenas;Filipe Araujo;2009;2
Filipe Araujo;Alvaro E. Arenas;2009;2
Alvaro E. Arenas;Gheorghe Cosmin Silaghi;2007;2
Gheorghe Cosmin Silaghi;Alvaro E. Arenas;2007;2
Alvaro E. Arenas;Gheorghe Cosmin Silaghi;2008;4
Gheorghe Cosmin Silaghi;Alvaro E. Arenas;2008;4
Alvaro E. Arenas;Gheorghe Cosmin Silaghi;2009;2
Gheorghe Cosmin Silaghi;Alvaro E. Arenas;2009;2
Alvaro E. Arenas;Luís Silva;2007;2
Luís Silva;Alvaro E. Arenas;2007;2
Alvaro E. Arenas;Luís Silva;2008;4
Luís Silva;Alvaro E. Arenas;2008;4
Alvaro E. Arenas;Luís Silva;2009;2
Luís Silva;Alvaro E. Arenas;2009;2
Alvaro E. Arenas;Patricio Domingues;2008;4
Patricio Domingues;Alvaro E. Arenas;2008;4
Alvaro E. Arenas;Patricio Domingues;2009;2
Patricio Domingues;Alvaro E. Arenas;2009;2
Ana Filipa Nogueira;Francisco Fernández de Vega;2013;2
Francisco Fernández de Vega;Ana Filipa Nogueira;2013;2
Ana Filipa Nogueira;Francisco Fernández de Vega;2014;2
Francisco Fernández de Vega;Ana Filipa Nogueira;2014;2
Ana Filipa Nogueira;Francisco Fernández de Vega;2015;2
Francisco Fernández de Vega;Ana Filipa Nogueira;2015;2
Ana Filipa Nogueira;José Carlos Bregieiro Ribeiro;2013;2
José Carlos Bregieiro Ribeiro;Ana Filipa Nogueira;2013;2
Ana Filipa Nogueira;José Carlos Bregieiro Ribeiro;2014;4
José Carlos Bregieiro Ribeiro;Ana Filipa Nogueira;2014;4
Ana Filipa Nogueira;José Carlos Bregieiro Ribeiro;2015;2
José Carlos Bregieiro Ribeiro;Ana Filipa Nogueira;2015;2
Ana Filipa Nogueira;Mário Alberto Zenha Rela;2013;2
Mário Alberto Zenha Rela;Ana Filipa Nogueira;2013;2
Ana Filipa Nogueira;Mário Alberto Zenha Rela;2014;4
Mário Alberto Zenha Rela;Ana Filipa Nogueira;2014;4
Ana Filipa Nogueira;Mário Alberto Zenha Rela;2015;2
Mário Alberto Zenha Rela;Ana Filipa Nogueira;2015;2
Ana Maria Ambrósio;Emilia Villani;2010;6
Emilia Villani;Ana Maria Ambrósio;2010;6
Ana Maria Ambrósio;Emilia Villani;2015;2
Emilia Villani;Ana Maria Ambrósio;2015;2
Ana Maria Ambrósio;Henrique Madeira;2010;6
Henrique Madeira;Ana Maria Ambrósio;2010;6
Ana Maria Ambrósio;Henrique Madeira;2015;2
Henrique Madeira;Ana Maria Ambrósio;2015;2
Ana Maria Ambrósio;Marco Vieira;2010;6
Marco Vieira;Ana Maria Ambrósio;2010;6
Ana Maria Ambrósio;Marco Vieira;2012;2
Marco Vieira;Ana Maria Ambrósio;2012;2
Ana Maria Ambrósio;Marco Vieira;2013;2
Marco Vieira;Ana Maria Ambrósio;2013;2
Ana Maria Ambrósio;Marco Vieira;2014;2
Marco Vieira;Ana Maria Ambrósio;2014;2
Ana Maria Ambrósio;Marco Vieira;2015;2
Marco Vieira;Ana Maria Ambrósio;2015;2
Ana Maria Ambrósio;Nuno Silva;2010;2
Nuno Silva;Ana Maria Ambrósio;2010;2
Ana Maria Ambrósio;Paulo C. Veras;2010;6
Paulo C. Veras;Ana Maria Ambrósio;2010;6
Ana Maria Ambrósio;Paulo C. Veras;2015;2
Paulo C. Veras;Ana Maria Ambrósio;2015;2
Ana Maria Ambrósio;Rodrigo P. Pontes;2010;2
Rodrigo P. Pontes;Ana Maria Ambrósio;2010;2
Anders Lyhne Christensen;João Brito;2004;2
João Brito;Anders Lyhne Christensen;2004;2
Anders Lyhne Christensen;João Gabriel Silva;2004;2
João Gabriel Silva;Anders Lyhne Christensen;2004;2
Aniello Napolitano;Gabriella Carrozza;2011;2
Gabriella Carrozza;Aniello Napolitano;2011;2
Aniello Napolitano;Gabriella Carrozza;2013;4
Gabriella Carrozza;Aniello Napolitano;2013;4
Aniello Napolitano;Joao Duraes;2013;2
Joao Duraes;Aniello Napolitano;2013;2
Aniello Napolitano;Marco Vieira;2011;2
Marco Vieira;Aniello Napolitano;2011;2
Aniello Napolitano;Marco Vieira;2013;2
Marco Vieira;Aniello Napolitano;2013;2
Aniello Napolitano;Nuno Antunes;2013;2
Nuno Antunes;Aniello Napolitano;2013;2
Aniello Napolitano;Nuno Laranjeiro;2011;2
Nuno Laranjeiro;Aniello Napolitano;2011;2
Aniello Napolitano;Nuno Laranjeiro;2013;2
Nuno Laranjeiro;Aniello Napolitano;2013;2
António Casimiro Costa;Cristina Gacek;2010;2
Cristina Gacek;António Casimiro Costa;2010;2
António Casimiro Costa;Filipe Araujo;2012;4
Filipe Araujo;António Casimiro Costa;2012;4
António Casimiro Costa;Filipe Araujo;2014;2
Filipe Araujo;António Casimiro Costa;2014;2
António Casimiro Costa;Henrique Madeira;2004;2
Henrique Madeira;António Casimiro Costa;2004;2
António Casimiro Costa;Henrique Madeira;2005;2
Henrique Madeira;António Casimiro Costa;2005;2
António Casimiro Costa;Henrique Madeira;2006;2
Henrique Madeira;António Casimiro Costa;2006;2
António Casimiro Costa;Henrique Madeira;2007;4
Henrique Madeira;António Casimiro Costa;2007;4
António Casimiro Costa;Marco Vieira;2004;2
Marco Vieira;António Casimiro Costa;2004;2
António Casimiro Costa;Marco Vieira;2005;2
Marco Vieira;António Casimiro Costa;2005;2
António Casimiro Costa;Marco Vieira;2006;2
Marco Vieira;António Casimiro Costa;2006;2
António Casimiro Costa;Marco Vieira;2007;4
Marco Vieira;António Casimiro Costa;2007;4
António Casimiro Costa;Marco Vieira;2008;2
Marco Vieira;António Casimiro Costa;2008;2
António Casimiro Costa;Mônica Dixit;2008;2
Mônica Dixit;António Casimiro Costa;2008;2
António Casimiro Costa;Nuno Laranjeiro;2008;2
Nuno Laranjeiro;António Casimiro Costa;2008;2
António Casimiro Costa;Raul Barbosa;2012;4
Raul Barbosa;António Casimiro Costa;2012;4
António Casimiro Costa;Raul Barbosa;2014;2
Raul Barbosa;António Casimiro Costa;2014;2
António Casimiro Costa;Rogério de Lemos;2010;2
Rogério de Lemos;António Casimiro Costa;2010;2
António Casimiro Costa;Samuel Neves;2012;2
Samuel Neves;António Casimiro Costa;2012;2
António Casimiro Costa;Serhiy Boychenko;2014;2
Serhiy Boychenko;António Casimiro Costa;2014;2
António Pessoa Magalhães;João Gabriel Silva;1996;2
João Gabriel Silva;António Pessoa Magalhães;1996;2
António Pessoa Magalhães;Mário Alberto Zenha Rela;1996;2
Mário Alberto Zenha Rela;António Pessoa Magalhães;1996;2
Artur Andrzejak;Javier Alonso;2007;2
Javier Alonso;Artur Andrzejak;2007;2
Artur Andrzejak;Jordi Torres;2007;2
Jordi Torres;Artur Andrzejak;2007;2
Artur Andrzejak;Luís Silva;2005;2
Luís Silva;Artur Andrzejak;2005;2
Artur Andrzejak;Luís Silva;2006;6
Luís Silva;Artur Andrzejak;2006;6
Artur Andrzejak;Luís Silva;2007;8
Luís Silva;Artur Andrzejak;2007;8
Artur Andrzejak;Luís Silva;2008;2
Luís Silva;Artur Andrzejak;2008;2
Artur Andrzejak;Patricio Domingues;2005;2
Patricio Domingues;Artur Andrzejak;2005;2
Artur Andrzejak;Patricio Domingues;2006;6
Patricio Domingues;Artur Andrzejak;2006;6
Attila Marosi;David Santiago;2009;2
David Santiago;Attila Marosi;2009;2
Attila Marosi;Diogo Ferreira;2009;2
Diogo Ferreira;Attila Marosi;2009;2
Attila Marosi;Etienne Urbah;2009;2
Etienne Urbah;Attila Marosi;2009;2
Attila Marosi;Filipe Araujo;2008;4
Filipe Araujo;Attila Marosi;2008;4
Attila Marosi;Filipe Araujo;2009;2
Filipe Araujo;Attila Marosi;2009;2
Attila Marosi;Gilles Fedak;2008;4
Gilles Fedak;Attila Marosi;2008;4
Attila Marosi;Gábor Gombás;2008;4
Gábor Gombás;Attila Marosi;2008;4
Attila Marosi;Gábor Gombás;2009;2
Gábor Gombás;Attila Marosi;2009;2
Attila Marosi;Gábor Terstyánszky;2008;4
Gábor Terstyánszky;Attila Marosi;2008;4
Attila Marosi;Ian Kelly;2008;4
Ian Kelly;Attila Marosi;2008;4
Attila Marosi;Ian Taylor;2008;4
Ian Taylor;Attila Marosi;2008;4
Attila Marosi;Jorge Farinha;2009;2
Jorge Farinha;Attila Marosi;2009;2
Attila Marosi;Luís Silva;2009;2
Luís Silva;Attila Marosi;2009;2
Attila Marosi;Miguel Cardenas-Montes;2008;4
Miguel Cardenas-Montes;Attila Marosi;2008;4
Attila Marosi;Oleg Lodygensky;2008;4
Oleg Lodygensky;Attila Marosi;2008;4
Attila Marosi;Oleg Lodygensky;2009;2
Oleg Lodygensky;Attila Marosi;2009;2
Attila Marosi;Patricio Domingues;2009;2
Patricio Domingues;Attila Marosi;2009;2
Attila Marosi;Péter Kacsuk;2008;4
Péter Kacsuk;Attila Marosi;2008;4
Attila Marosi;Péter Kacsuk;2009;2
Péter Kacsuk;Attila Marosi;2009;2
Attila Marosi;Róbert Lovas;2008;4
Róbert Lovas;Attila Marosi;2008;4
Attila Marosi;Tamas Kiss;2008;4
Tamas Kiss;Attila Marosi;2008;4
Attila Marosi;Zoltán Balaton;2008;4
Zoltán Balaton;Attila Marosi;2008;4
Attila Marosi;Zoltán Balaton;2009;2
Zoltán Balaton;Attila Marosi;2009;2
Attila Marosi;Zoltán Farkas;2008;4
Zoltán Farkas;Attila Marosi;2008;4
Attila Marosi;Zoltán Farkas;2009;2
Zoltán Farkas;Attila Marosi;2009;2
Bart Veer;João Gabriel Silva;1994;6
João Gabriel Silva;Bart Veer;1994;6
Bart Veer;Luís Silva;1994;6
Luís Silva;Bart Veer;1994;6
Bipin C. Desai;Jorge Bernardino;2004;2
Jorge Bernardino;Bipin C. Desai;2004;2
Bipin C. Desai;Jorge Bernardino;2008;2
Jorge Bernardino;Bipin C. Desai;2008;2
Bipin C. Desai;Jorge Bernardino;2010;2
Jorge Bernardino;Bipin C. Desai;2010;2
Bipin C. Desai;Jorge Bernardino;2012;2
Jorge Bernardino;Bipin C. Desai;2012;2
Bruno Cabral;Jonathan Aldrich;2015;2
Jonathan Aldrich;Bruno Cabral;2015;2
Bruno Cabral;Jorge Bernardino;2015;6
Jorge Bernardino;Bruno Cabral;2015;6
Bruno Cabral;Jorge Bernardino;2016;4
Jorge Bernardino;Bruno Cabral;2016;4
Bruno Cabral;João Pedro Maia Rafael;2014;4
João Pedro Maia Rafael;Bruno Cabral;2014;4
Bruno Cabral;Luís Silva;2004;4
Luís Silva;Bruno Cabral;2004;4
Bruno Cabral;Luís Silva;2005;2
Luís Silva;Bruno Cabral;2005;2
Bruno Cabral;Marco Vieira;2015;6
Marco Vieira;Bruno Cabral;2015;6
Bruno Cabral;Marco Vieira;2016;2
Marco Vieira;Bruno Cabral;2016;2
Bruno Cabral;Paulo Marques;2004;4
Paulo Marques;Bruno Cabral;2004;4
Bruno Cabral;Paulo Marques;2005;2
Paulo Marques;Bruno Cabral;2005;2
Bruno Cabral;Paulo Marques;2006;4
Paulo Marques;Bruno Cabral;2006;4
Bruno Cabral;Paulo Marques;2007;4
Paulo Marques;Bruno Cabral;2007;4
Bruno Cabral;Paulo Marques;2008;2
Paulo Marques;Bruno Cabral;2008;2
Bruno Cabral;Paulo Marques;2009;2
Paulo Marques;Bruno Cabral;2009;2
Bruno Cabral;Paulo Marques;2011;2
Paulo Marques;Bruno Cabral;2011;2
Bruno Cabral;Paulo Marques;2015;2
Paulo Marques;Bruno Cabral;2015;2
Bruno Cabral;Paulo Sacramento;2006;2
Paulo Sacramento;Bruno Cabral;2006;2
Bruno Cabral;Paulo Sacramento;2007;2
Paulo Sacramento;Bruno Cabral;2007;2
Bruno Lucas Rino;Henrique Madeira;2003;2
Henrique Madeira;Bruno Lucas Rino;2003;2
Bruno Miguel Luis;José Carlos Bregieiro Ribeiro;2007;2
José Carlos Bregieiro Ribeiro;Bruno Miguel Luis;2007;2
Bruno Miguel Luis;Mário Alberto Zenha Rela;2007;2
Mário Alberto Zenha Rela;Bruno Miguel Luis;2007;2
Carlo Emmanoel Tolla de Oliveira;Luis Orleans;2007;2
Luis Orleans;Carlo Emmanoel Tolla de Oliveira;2007;2
Carlo Emmanoel Tolla de Oliveira;Pedro Furtado;2007;2
Pedro Furtado;Carlo Emmanoel Tolla de Oliveira;2007;2
Carlos Alberto Maziero;Flávio Morais de Assis Silva;2005;2
Flávio Morais de Assis Silva;Carlos Alberto Maziero;2005;2
Carlos Alberto Maziero;João Gabriel Silva;2005;2
João Gabriel Silva;Carlos Alberto Maziero;2005;2
Carlos Cunha;Luís Silva;2011;4
Luís Silva;Carlos Cunha;2011;4
Carlos Cunha;Luís Silva;2012;2
Luís Silva;Carlos Cunha;2012;2
Cristina Gacek;Rogério de Lemos;2009;2
Rogério de Lemos;Cristina Gacek;2009;2
Cristina Gacek;Rogério de Lemos;2010;2
Rogério de Lemos;Cristina Gacek;2010;2
D. Rennels;Diamantino Costa;2002;2
Diamantino Costa;D. Rennels;2002;2
D. Rennels;F. Moreira;2002;2
F. Moreira;D. Rennels;2002;2
D. Rennels;Henrique Madeira;2002;2
Henrique Madeira;D. Rennels;2002;2
D. Rennels;R. R. Some;2002;2
R. R. Some;D. Rennels;2002;2
D. Weyns;J. Andersson;2009;2
J. Andersson;D. Weyns;2009;2
D. Weyns;J. Andersson;2010;2
J. Andersson;D. Weyns;2010;2
D. Weyns;Rogério de Lemos;2009;2
Rogério de Lemos;D. Weyns;2009;2
D. Weyns;Rogério de Lemos;2010;2
Rogério de Lemos;D. Weyns;2010;2
D. Weyns;S. Malek;2009;2
S. Malek;D. Weyns;2009;2
D. Weyns;S. Malek;2010;2
S. Malek;D. Weyns;2010;2
David Alves;Paulo Marques;2010;4
Paulo Marques;David Alves;2010;4
David Alves;Paulo Marques;2011;2
Paulo Marques;David Alves;2011;2
David Alves;Pedro Bizarro;2010;4
Pedro Bizarro;David Alves;2010;4
David Alves;Pedro Bizarro;2011;2
Pedro Bizarro;David Alves;2011;2
David DeWitt;Jennifer Widom;2005;2
Jennifer Widom;David DeWitt;2005;2
David DeWitt;Nicolas Bruno;2009;2
Nicolas Bruno;David DeWitt;2009;2
David DeWitt;Pedro Bizarro;2005;4
Pedro Bizarro;David DeWitt;2005;4
David DeWitt;Pedro Bizarro;2009;2
Pedro Bizarro;David DeWitt;2009;2
David DeWitt;Shivnath Babu;2005;4
Shivnath Babu;David DeWitt;2005;4
