A. Pataricza;G. Pintér;2
G. Pintér;A. Pataricza;2
A. Pataricza;Henrique Madeira;2
Henrique Madeira;A. Pataricza;2
A. Pataricza;I. Majzik;2
I. Majzik;A. Pataricza;2
A. Pataricza;Marco Vieira;2
Marco Vieira;A. Pataricza;2
Ad Emmen;Attila Marosi;2
Attila Marosi;Ad Emmen;2
Ad Emmen;Filipe Araujo;2
Filipe Araujo;Ad Emmen;2
Ad Emmen;Gilles Fedak;2
Gilles Fedak;Ad Emmen;2
Ad Emmen;Gábor Gombás;2
Gábor Gombás;Ad Emmen;2
Ad Emmen;Gábor Terstyánszky;2
Gábor Terstyánszky;Ad Emmen;2
Ad Emmen;Ian Kelly;2
Ian Kelly;Ad Emmen;2
Ad Emmen;Ian Taylor;2
Ian Taylor;Ad Emmen;2
Ad Emmen;Miguel Cardenas-Montes;2
Miguel Cardenas-Montes;Ad Emmen;2
Ad Emmen;Oleg Lodygensky;2
Oleg Lodygensky;Ad Emmen;2
Ad Emmen;Péter Kacsuk;2
Péter Kacsuk;Ad Emmen;2
Ad Emmen;Róbert Lovas;2
Róbert Lovas;Ad Emmen;2
Ad Emmen;Tamas Kiss;2
Tamas Kiss;Ad Emmen;2
Ad Emmen;Zoltán Balaton;2
Zoltán Balaton;Ad Emmen;2
Ad Emmen;Zoltán Farkas;2
Zoltán Farkas;Ad Emmen;2
Afonso Comba de Araújo Neto;Henrique Madeira;2
Henrique Madeira;Afonso Comba de Araújo Neto;2
Afonso Comba de Araújo Neto;Joao Duraes;1
Joao Duraes;Afonso Comba de Araújo Neto;1
Afonso Comba de Araújo Neto;Marco Vieira;16
Marco Vieira;Afonso Comba de Araújo Neto;16
Afonso Comba de Araújo Neto;Naaliel Mendes;1
Naaliel Mendes;Afonso Comba de Araújo Neto;1
Afonso Comba de Araújo Neto;Raquel Rute Duarte Almeida;1
Raquel Rute Duarte Almeida;Afonso Comba de Araújo Neto;1
Alcides Fonseca;Bruno Cabral;5
Bruno Cabral;Alcides Fonseca;5
Alcides Fonseca;Jonathan Aldrich;2
Jonathan Aldrich;Alcides Fonseca;2
Alcides Fonseca;João Pedro Maia Rafael;2
João Pedro Maia Rafael;Alcides Fonseca;2
Alcides Fonseca;Paulo Marques;2
Paulo Marques;Alcides Fonseca;2
Alcides Fonseca;Sven Stork;1
Sven Stork;Alcides Fonseca;1
